%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_east,field.utm_north,field.latitude_std,field.longitude_std,field.altitude_std,field.north_velocity,field.east_velocity,field.up_velocity,field.north_velocity_std,field.east_velocity_std,field.up_velocity_std,field.roll,field.pitch,field.yaw,field.x,field.y,field.z,field.w,field.roll_std,field.pitch_std,field.yaw_std,field.roll_rate,field.pitch_rate,field.yaw_rate,field.ax,field.ay,field.az,field.init_position,field.init_velocity,field.init_pitchroll,field.init_yaw,field.gps_status,field.gps_satellitenum,field.wheelspeed_status,field.temperature
1561680851335114775,117082,1561680851334100146,gps,38.9796933,117.7858949,4.78999996185,568071.915458,4314816.81249,0.025476468727,0.0265161804855,0.0533970333636,-1.76086425781,-1.58996582031,0.030517578125,0.0350843556225,0.0343896411359,0.0305008720607,-0.428466796875,-0.06591796875,-137.515869141,-0.00189085406809,0.00327661506582,-0.932052162015,0.362304368933,0.170332998037,0.179066136479,0.186373978853,0.3662109375,-0.860595703125,-1.62048339844,-0.05126953125,-0.030029296875,1.04223632812,1,1,1,1,50,28,1,46.0021972656
1561680851354892074,117083,1561680851354590907,gps,38.979693,117.7858946,4.78999996185,568071.88976,4314816.77897,0.025476468727,0.0265161804855,0.0533970333636,-1.78527832031,-1.58081054688,0.0244140625,0.0350843556225,0.0343896411359,0.0305008720607,-0.41748046875,-0.087890625,-137.548828125,-0.00203394023436,0.00311836896838,-0.932156772817,0.362035757561,0.170332998037,0.179066136479,0.186373978853,0.393676757812,-0.76904296875,-1.38244628906,-0.10107421875,0.0025634765625,1.0693359375,1,1,1,1,50,28,1,46.1975097656
1561680851374460678,117084,1561680851374296099,gps,38.9796926,117.7858942,4.78999996185,568071.855496,4314816.73428,0.025476468727,0.0265161804855,0.0533970333636,-1.77001953125,-1.56555175781,0.006103515625,0.0350843556225,0.0343896411359,0.0305008720607,-0.41748046875,-0.098876953125,-137.581787109,-0.00212242242815,0.00308426929278,-0.932260917015,0.361767280462,0.170332998037,0.179066136479,0.186373978853,-0.0091552734375,-0.137329101562,-1.07116699219,-0.202880859375,-0.0230712890625,1.06787109375,1,1,1,1,50,28,1,46.1975097656
1561680851394737971,117085,1561680851394591498,gps,38.9796923,117.7858938,4.78999996185,568071.821136,4314816.70069,0.025476468727,0.0265161804855,0.0533970333636,-1.74255371094,-1.53503417969,0.006103515625,0.0350843556225,0.0343896411359,0.0305008720607,-0.41748046875,-0.098876953125,-137.603759766,-0.0021218309879,0.00308467620548,-0.932330267883,0.361588515021,0.170332998037,0.179066136479,0.186373978853,0.119018554688,0.0,-1.08947753906,-0.206176757812,-0.049072265625,0.983276367188,1,1,1,1,50,28,1,46.1975097656
1561680851414409908,117086,1561680851414163360,gps,38.979692,117.7858935,4.78900003433,568071.795438,4314816.66718,0.025476468727,0.0265161804855,0.0533970333636,-1.71203613281,-1.52282714844,-0.0091552734375,0.0350843556225,0.0343896411359,0.0305008720607,-0.406494140625,-0.087890625,-137.63671875,-0.00199690668015,0.00303053204236,-0.932434471391,0.361320888964,0.170332998037,0.179066136479,0.186373978853,0.302124023438,0.0732421875,-1.54724121094,-0.0933837890625,-0.072509765625,0.885864257812,1,1,1,1,50,28,1,46.1975097656
1561680851434863366,117087,1561680851434493240,gps,38.9796917,117.7858931,4.78800010681,568071.761078,4314816.63359,0.025476468727,0.0265161804855,0.0533970333636,-1.67541503906,-1.56860351562,-0.0640869140625,0.0350843556225,0.0343896411359,0.0305008720607,-0.406494140625,-0.076904296875,-137.680664062,-0.00190633520466,0.00306590501703,-0.932572909173,0.360963620312,0.170332998037,0.179066136479,0.186373978853,0.018310546875,0.704956054688,-2.51770019531,0.0509033203125,0.071044921875,0.805297851562,1,1,1,1,50,28,1,46.1975097656
1561680851454572668,117088,1561680851454437370,gps,38.9796914,117.7858928,4.78800010681,568071.735379,4314816.60007,0.025476468727,0.0265161804855,0.0533970333636,-1.62658691406,-1.611328125,-0.0396728515625,0.0350843556225,0.0343896411359,0.0305008720607,-0.406494140625,-0.076904296875,-137.735595703,-0.00190486528587,0.00306681850273,-0.932745836785,0.360516532316,0.170332998037,0.179066136479,0.186373978853,-0.723266601562,-0.137329101562,-2.99377441406,0.0223388671875,0.167358398438,0.932739257812,1,1,1,1,50,28,1,46.1975097656
1561680851473996590,117089,1561680851473861057,gps,38.9796911,117.7858924,4.78700017929,568071.701019,4314816.56648,0.025476468727,0.0265161804855,0.0533970333636,-1.61437988281,-1.61743164062,-0.0,0.0350843556225,0.0343896411359,0.0305008720607,-0.428466796875,-0.076904296875,-137.801513672,-0.00197212605481,0.00324680520789,-0.93295246157,0.359979545842,0.170332998037,0.179066136479,0.186373978853,-1.18103027344,-0.897216796875,-2.81982421875,-0.012451171875,-0.0069580078125,1.05432128906,1,1,1,1,50,28,1,46.1975097656
1561680851494890558,117090,1561680851494696911,gps,38.9796908,117.785892,4.78800010681,568071.666659,4314816.53289,0.025476468727,0.0265161804855,0.0533970333636,-1.67236328125,-1.5625,-0.0091552734375,0.0350843556225,0.0343896411359,0.0305008720607,-0.450439453125,-0.10986328125,-137.845458984,-0.002308213303,0.00332304270866,-0.933089991406,0.359620212831,0.170332998037,0.179066136479,0.186373978853,-1.03454589844,-0.25634765625,-1.74865722656,-0.149047851562,-0.135131835938,1.23413085938,1,1,1,1,50,28,1,46.1975097656
1561680851514203040,117091,1561680851514027431,gps,38.9796905,117.7858917,4.78800010681,568071.640961,4314816.49937,0.025476468727,0.0265161804855,0.0533970333636,-1.72424316406,-1.46789550781,0.006103515625,0.0350843556225,0.0343896411359,0.0305008720607,-0.46142578125,-0.120849609375,-137.867431641,-0.00243150225041,0.00337848903151,-0.933158656344,0.359440670624,0.170332998037,0.179066136479,0.186373978853,-0.723266601562,0.146484375,-0.411987304688,-0.246826171875,-0.128540039062,1.22937011719,1,1,1,1,50,28,1,46.1975097656
